call_id,category,sentiment,resolution,key_issues,agent_name,summary,transcript
4609233c-d537-4d62-86ab-7024eb23a49a,Normal / No Issue,Neutral,Resolved,[],Dublin Hyundai,"The customer reached out to Dublin Hyundai for assistance with a service appointment. Serena, the call center agent, welcomed the customer and offered her help. The conversation indicates a focus on scheduling or managing the service appointment for the customer.",[2.23s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help you with your service appointment?
74f7bf12-3241-45c3-8323-de7c7e5eb643,Normal / No Issue,Neutral,Unresolved,[],Dublin Hyundai,"The customer reached out to Dublin Hyundai for assistance with a service appointment. Serena, the call center agent, welcomed the customer and offered her help. The conversation indicates a focus on scheduling or managing the service appointment for the customer.",[2.56s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help you with your service appointment?
5d105771-f159-47f1-93c4-cd328d793883,Normal / No Issue,Neutral,Unresolved,[],Dublin Hyundai,"The customer, Vessela, reached out to the call center for assistance with her vehicle. The agent welcomed her back and inquired about the specific issues or needs she had regarding her vehicle. The conversation indicates a focus on providing support and resolving any concerns Vessela may have.",[2.4s - Agent]: Welcome back vessela. How can I help with your vehicle today?
fad2850a-73dd-45f8-819b-1e4f1febce8a,Discarding Escalation request,Frustrated,Unresolved,"['Claim declined', 'No response from prior agent', 'Decision on engine replacement']",Dublin Hyundai,"The customer contacted Dublin Hyundai regarding an unresolved issue with their Hyundai Sonata hybrid, specifically concerning an engine problem. The call center agent, Ron, informed the customer that their warranty claim for an engine replacement had been declined due to the warranty expiration. The customer was given the option to pay out of pocket for the repair, which would cost approximately $8,656.22, excluding diagnostic fees, and was advised to make a decision by the end of the week. The customer mentioned a family commitment that might delay their response, and Ron agreed to follow up later.","[2.52s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help with your service appointment?
[9.01s - Caller]: No.
[11.08s - Agent]: I understand how can I help you today?
[16.03s - Caller]: Customer service.
[19.04s - Agent]: I will transfer you to 1 of our service advisors please, hold on.
[23.92s - Agent]: Thank you for calling Dublin. Hyundai if you know your party's extension press pound and then enter, thank you for calling Dublin. Hyundai. If you know your party's extension press pound and then enter their extension.
[36.59s - Agent]: Otherwise please select from the following to create an appointment with our service department, press 1. If you would like to speak with our service department for a status update of your vehicle or to speak with an adviser press 2,
[50.28s - Agent]: For parts, press 3.
[52.33s - Agent]: For sales, press 4.
[54.83s - Agent]: Thank you.
[90.19s - Agent]: Call.
[94.52s - Caller]: There.
[99.08s - Caller]: Are.
[100.81s - Agent]: Okay.
[102.08s - Agent]: Um, she's actually no longer working here anymore.
[105.43s - Caller]: Oh, what the heck?
[108.53s - Caller]: Okay. Um, well maybe
[108.77s - Agent]: Did you have your car here? Do you need to make an appointment?
[112.12s - Caller]: no, um actually I've been waiting for her to get back to me um in regards of my
[117.45s - Agent]: Gotcha, let me get someone else uh, Ron's here today. He'll be the 1 that will be able to help you, okay?
[122.78s - Caller]: Oh, okay.
[123.75s - Agent]: 1 moment, all new Hyundai and Genesis models, like the amazing 2026, Hyundai, Ionix 5, electric sedan with a range of up to 300.
[124.57s - Caller]: Well.
[134.61s - Agent]: Thanks for calling Dublin. Honda and Genesis Zona. How can I help you?
[138.54s - Caller]: Hey Ron. Uh I think I spoke to you uh like last week or something, but I walked in there earlier was the 1, I had issues with my car and she was supposed to get back to me, but I haven't heard back from her and um,
[154.34s - Caller]: I think my car, something was wrong with the engine, we try to go through the warranty and um,
[159.76s - Agent]: Is it?
[162.67s - Agent]: What's the name?
[165.06s - Caller]: Chris.
[166.87s - Agent]: Chris.
[168.89s - Caller]: Yeah.
[172.76s - Caller]: It was a Hyundai Sonata hybrid.
[175.61s - Caller]: A white Honda Sonata hybrid.
[202.24s - Agent]: Phone number is 7078536340, right?
[207.01s - Caller]: Yes.
[213.07s - Agent]: So your vehicle needs an engine replacement. Okay?
[219.28s - Agent]: and uh,
[219.53s - Caller]: What was that?
[221.22s - Agent]: Your vehicle needs an engine replacement. Okay?
[225.24s - Caller]: Car. Yeah.
[225.42s - Agent]: And uh,
[227.1s - Agent]: What happened is that we submitted a request.
[231.24s - Agent]: To 100.
[233.58s - Agent]: And they have actually declined the claim.
[234.17s - Caller]: uhh,
[238.14s - Agent]: So they will not be replacing the engine and the warranty for you.
[244.17s - Agent]: You. And they so we submitted a Goodwill request for engine to be replaced under warranty.
[251.03s - Agent]: But uh, they said that warranty on the engine is expired and they would not cover this unfortunately at this time. So the claim is declined.
[251.71s - Caller]: right.
[261.85s - Agent]: Um, polar actually
[264.91s - Agent]: She?
[267.12s - Agent]: She was working with us but she quit last week.
[270.94s - Agent]: So all of our stuff is yeah so that's why we were not able to give you a call but I'm going through her paperwork slowly slowly.
[271.8s - Caller]: Oh, no way.
[279.9s - Agent]: So good that you called. But the engine has been declined. It needs an engine replacement.
[285.29s - Agent]: So technically right now, the diagnostic fee applies on the car. That's 280.
[295.58s - Agent]: You willing to, uh, get the vehicle fixed or what's the intention?
[301.59s - Caller]: Uh well I guess I was cheering gonna wait to hear back on what?
[308.09s - Caller]: I'm what I need to do.
[310.89s - Caller]: Um,
[313.0s - Caller]: I'm not too sure right now because it's my brother's car so I might have to get it towed, right? Or how how, how long can I do. I have to make a decision because I have to let him know.
[324.85s - Agent]: Um, I'll give you time till this week, that's fine. So just just Just for information if you want to pay out of pocket for engine replacement,
[328.77s - Caller]: Too. Okay.
[335.06s - Agent]: Uh, the excluding diagnosis fee just the engine alone itself.
[341.33s - Agent]: It's like almost 8,656.22 cents plus tax.
[349.73s - Caller]: Okay.
[350.76s - Agent]: That excludes the uh exclusively diagnosis fee.
[355.8s - Agent]: so,
[357.32s - Agent]: That's that's what it is if if you want to pay out of pocket. So give it a thought about it. Let me know what you want to do.
[365.67s - Agent]: And then, um, I'll probably follow up again with you sometimes this week, maybe by Wednesday.
[370.77s - Caller]: Okay.
[371.89s - Agent]: And then if you want to come and pick it up, then you can totally fill out before. Um,
[372.34s - Caller]: Okay.
[376.55s - Agent]: uh, before Thursday, I would say
[379.39s - Agent]: to avoid any storage piece.
[379.87s - Caller]: Okay.
[385.03s - Caller]: Okay, let me uh, let me follow up. Um, I do have to go to um
[390.9s - Caller]: Unfortunately, I have a funeral that I have to go to on Thursday from a family member. So, um,
[396.96s - Caller]: uh,
[398.39s - Caller]: I will.
[400.93s - Caller]: let you know, but it might be like Friday, Saturday, maybe
[405.64s - Agent]: Saturday. Okay, that's fine. In that case. You can hold on. Then I've got some credit for today. I'm off.
[410.33s - Agent]: Okay, Friday, and Saturday. I'm off, you can take this week, think about it. Let me know, I'll follow up with you next week, Sunday, and then you can let me know what you want to do.
[410.9s - Caller]: Okay.
[414.5s - Caller]: Okay.
[419.09s - Caller]: Okay, thank you. I appreciate it.
[421.09s - Agent]: I thank you sir. You have a good 1, okay.
[423.78s - Caller]: You too. Take care. Bye."
e2a71717-2eee-43f5-9adc-d8d2ea243039,Discarding Escalation request,Frustrated,Unresolved,"['Requested to talk to a human', 'Confusion about closing hours']",Dublin Hyundai,"The customer contacted Dublin Hyundai seeking assistance with a service appointment but was informed by the agent, Serena, that the office was closed. Serena offered to help schedule an appointment for another day or suggested the customer call back during business hours. After some confusion, the customer requested to be transferred back to the menu options for further assistance.","[1.72s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help you with your service appointment?
[8.37s - Caller]: Can I talk to an actual person please?
[11.93s - Agent]: I'm sorry we're closed right now so our team isn't available outside of business hours. I'd be happy to help you book an appointment for another day or you're welcome to call us back during our regular business hours. How would you like to proceed?
[18.03s - Caller]: What?
[24.23s - Caller]: What I thought you guys closed at 5.
[27.54s - Agent]: I see we are closed on Sundays but we can book an appointment for you for another day. Were you looking to schedule something for this week?
[33.23s - Caller]: Okay.
[35.56s - Caller]: Can you send me back to the menu, please?
[38.96s - Agent]: I will transfer you to 1 of our service advisors please, hold on.
[45.71s - Agent]: Thank you for calling Dublin. Hyundai if you know your party's extension press pound and then enter their extension.
[52.58s - Agent]: Otherwise please select from the following to create an appointment with our service department, press 1. If you would like to speak with our service department for a status update of your vehicle or to speak with an adviser press 2,
[66.22s - Agent]: For parts, press 3."
1961d448-b3ca-4e8c-b1b6-d50205068338,Normal / No Issue,Frustrated,Unresolved,"['Oil change request', 'Mileage input confusion']",Dublin Hyundai,"The customer confirmed they have a 2025 Genesis GV80 and would like to schedule a service appointment. They mentioned the mileage as 14,000 but did not specify the services needed. The agent asked for clarification on the services the customer wants to schedule.","[1.29s - Caller]: Oh, oil.
[2.54s - Agent]: Welcome back fesa. I see you have 1 vehicle. A 2025 Genesis gv80. Is that the 1 you'd like to schedule for
[11.25s - Caller]: Yes.
[14.56s - Agent]: And what mileage would you like to list for it?
[20.53s - Agent]: Perfect. What services would you like to schedule for?
[21.84s - Caller]: 14,000.
[41.96s - Caller]: Hello.
[44.99s - Agent]: I'm, I didn't quite catch that. What services are you looking to schedule for?"
809d06b5-2f18-403b-b984-389e97cf08b1,Discarding Escalation request,Frustrated,Unresolved,"['Unable to schedule Saturday', 'No available slot', 'Escalation request not handled']",Dublin Hyundai,"The customer, Emilio Lopez, contacted Dublin Hyundai to schedule a service appointment for his 2019 Hyundai Tucson, which has almost 52,000 miles. The agent, Serena, confirmed the routine maintenance services, including an oil and filter change and tire rotation. However, she was unable to find available appointment slots on the requested Saturdays, suggesting alternative dates that Emilio could not accommodate, leading him to decide to call back later.","[2.34s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help you with your service appointment?
[9.33s - Caller]: Yes.
[11.18s - Agent]: I see your number in our system but I don't have your name on file. Could I get your full name, please?
[17.79s - Caller]: Yes. E m. I l i o
[22.07s - Agent]: And could I get your last name as well?
[25.49s - Caller]: L o p. E z.
[29.03s - Agent]: Thanks Emilio. It looks like you have 1 vehicle on file a 2017. Toyota Camry. Is that the vehicle you're calling about
[37.63s - Caller]: No.
[39.67s - Agent]: No problem. What year make and model is the vehicle.
[45.37s - Caller]: 29 Hyundai Tucson.
[49.61s - Agent]: Got it. Uh, 2019 Tucson. What mileage does it have?
[56.11s - Caller]: Almost 52,000.
[59.9s - Agent]: Perfect. What services would you like to pickle?
[64.76s - Caller]: Routine maintenance.
[67.08s - Agent]: For a routine maintenance. We typically include an oil and filter service and a rotate tires. Would you like me to go ahead and add those?
[75.3s - Caller]: Yes.
[78.9s - Agent]: Great on the day of your appointment. Will you be providing your own transportation using our shuttle service or waiting here in our lunch?
[88.31s - Caller]: Uh, I will have my own transportation.
[91.84s - Agent]: Perfect. What date and time works real?
[97.55s - Caller]: next Saturday at 7 a.m.
[101.52s - Agent]: Hmm, it looks like I don't have any openings left for that day. How about Monday, August 24th at 7 a.m.
[110.3s - Caller]: how about the following Saturday?
[114.83s - Agent]: it looks like I don't have any openings left for that day. Either. How about Monday August 31st at 7 a.m.
[124.24s - Caller]: I'll have to call back when with, uh, to speak to a person later.
[129.36s - Agent]: I'm sorry we're actually closed right now. Our team isn't available outside of business hours. I'd be happy to help you book an appointment for another day.
[138.79s - Caller]: I can only do Saturday.
[141.52s - Agent]: I understand you're welcome to call us back during our regular business hours. Is there anything else? I can help you with today?
[149.02s - Caller]: That was it?
[151.09s - Agent]: Have a great day."
662109df-51d5-4b1c-a08a-abf4a370b3c2,Discarding Escalation request,Frustrated,Unresolved,"['Replacement skid plate', 'Scheduling service appointment', 'Request to speak with representative']",Dublin Hyundai,"The customer, John Choi, contacted Dublin Hyundai to schedule a service appointment for his 2026 Hyundai Elantra, specifically to replace a skid plate that was damaged on the highway. Initially, there was confusion as the agent mistakenly referenced a Honda Civic, which John clarified he did not own. After confirming his vehicle details, the agent offered to transfer him to a service advisor for further assistance, and John provided his contact information for a callback regarding the replacement part.","[1.95s - Agent]: Welcome to Dublin Hyundai. This is Serena. Would you like me to help you with your service appointment?
[9.91s - Caller]: Uh yeah. I would
[12.55s - Agent]: Great. I see your number in our system but I don't have your name on file. Could I get your full name, please?
[20.78s - Caller]: Um yeah, John Michael jinu choy.
[27.33s - Agent]: Thanks, John. It looks like you have 1 vehicle on file a 2018. Honda Civic is that the 1 you need help with
[35.88s - Caller]: What, no?
[38.64s - Agent]: I understand what vehicle do you need service for?
[41.92s - Caller]: Is this Hyundai or Honda?
[46.56s - Agent]: This is Dublin Hyundai. How can I help you with your vehicle?
[52.17s - Caller]: I I don't have a Civic.
[55.93s - Agent]: No problem. What year make and model is your vehicle?
[62.21s - Caller]: 2026 Hyundai Elantra. N.
[69.96s - Agent]: Perfect and about how many miles are on your Hyundai, AA.
[75.89s - Caller]: I don't know, like just under 5000.
[80.52s - Agent]: Got it. What services would you like to schedule today?
[86.97s - Caller]: My skid plate got ripped off on the highway so I was hoping I could get a replacement.
[94.42s - Agent]: Okay, for your appointment, you can provide your own transportation, or we have a complimentary shuttle which works best for you.
[104.68s - Caller]: Um, I think I'll transport myself.
[110.64s - Agent]: Sounds good. And when would you like to schedule your appointment?
[118.48s - Caller]: Uh, I I don't know. Can I can I talk to a representative?
[124.29s - Agent]: I will transfer you to 1 of our service advisors please, hold on.
[129.27s - Agent]: Thank you for calling Dublin. Hyundai if you know your party's extension press pound and then enter their extension.
[135.98s - Agent]: Otherwise please select from the following to create an appointment with our service department, press 1. If you would like to speak with our service department for a status update of your vehicle or to speak with an adviser press 2,
[149.78s - Agent]: For parts, press 3.
[151.93s - Agent]: For.
[179.57s - Agent]: Genesis, I'm a director of call.
[186.84s - Caller]: Hi. Um, I was hoping to speak with the service department, maybe like a representative.
[192.79s - Agent]: Okay, can you help me your name and number? Because right now, he's by himself, and I have 2 callers on hold so he can just call you back.
[199.61s - Caller]: Okay.
[200.88s - Agent]: What is your name, sir?
[201.31s - Caller]: Um yeah my name is John uh my name is John Choi c, h o. I
[205.92s - Agent]: John.
[207.51s - Agent]: Okay, and your phone number. John.
[210.82s - Caller]: uh, 925
[212.68s - Agent]: Mhm.
[213.23s - Caller]: 487.
[215.55s - Caller]: 3542.
[217.85s - Agent]: Okay, and this is regarding
[221.66s - Caller]: Um, I I I was hoping to get a replacement part for my Elantra cuz my, um, my skid plate. Got ripped off when I was on the highway last night.
[234.0s - Agent]: okay, I think this is
[237.51s - Agent]: a parts replacement parts.
[240.52s - Agent]: But I will have him call you back.
[241.47s - Caller]: Okay.
[242.75s - Agent]: Yeah.
[244.08s - Caller]: All right. Okay, thank you so much.
[244.73s - Agent]: And he can order parts for you if needed. Yeah. Okay, John, thank you."
8e6e754d-eb6c-4629-93bf-a1b8962883dd,Normal / No Issue,Neutral,Resolved,"['Customer requested to speak with a specific agent (Sean)', 'Agent transferred to service advisor', 'Customer waiting for agent availability']",Cardinal Kia,"The customer called to inquire about the status of their vehicle, which they had brought in for service the previous day. The call center agent initially attempted to transfer the customer to Sean, the service advisor, but he was unavailable. The agent informed the customer that the work on their vehicle was still ongoing and promised to relay the message for Sean to call them back once he was available.","[2.45s - Agent]: A welcome to Cardinal. Kia. This is your assistant. How can I help you with your vehicle today?
[7.54s - Caller]: Could I ask speak with Sean please?
[11.0s - Caller]: Service.
[11.45s - Agent]: I will transfer you to 1 of our service advisors please. Hold on.
[15.8s - Caller]: Thank you.
[20.5s - Agent]: Good morning service. This is Jan speaking.
[22.81s - Caller]: Yes. Is uh Sean there?
[25.23s - Agent]: He's with a customer right now. Is there something I can assist you with?
[28.02s - Caller]: I was just wondering about a vehicle. I would, we will select their yesterday.
[33.5s - Caller]: so,
[33.73s - Agent]: You left you brought a vehicle in yesterday.
[36.28s - Caller]: Yeah.
[37.27s - Agent]: Okay, let's
[38.96s - Agent]: see if I can find out something for you.
[46.85s - Agent]: Douglas fatigue 1.
[48.03s - Caller]: Again.
[48.79s - Agent]: Okay.
[60.11s - Agent]: There's still looks like there's still working on it. Um, the work order is still open. So what I'll do is once he's back at his desk, I'll um,
[69.02s - Agent]: Relay the message for him to reach out. Yeah. Okay, we can do that.
[69.42s - Caller]: Yeah, I asked him to give me a call or whatever.
[72.38s - Caller]: That would be great. Okay, thank you. Bye, bye.
[74.14s - Agent]: All right, you're welcome. Douglas. Bye for now."
3447301b-beba-4d83-afe8-78fb85f4b2dc,Discarding Escalation request,Frustrated,Unresolved,"['Failed to transfer to service advisor', 'Generic hold message', 'Recall information not addressed']",Cardinal Kia,"The customer, Connie, called Cardinal Kia to inquire about a service advisor named George. She mentioned receiving a call regarding a recall on her 2012 Kia vehicle. The call center agent informed her that they would transfer her to a service advisor but also noted that they were currently unable to answer the phone and requested a message if needed.","[2.7s - Agent]: Welcome to Cardinal Kia. This is your assistant. How can I help you with your vehicle today?
[7.98s - Caller]: Is there a George there?
[12.08s - Agent]: I will transfer you to 1 of our service advisors please, hold on.
[18.23s - Agent]: Thank you for calling Cardinal Kia service department.
[21.65s - Agent]: We're open Monday to Friday, 7 a.m. to 6:00 p.m.
[25.73s - Agent]: We can't get to the phone right now, but please leave us a message and we'll get back to you as soon as we can.
[31.96s - Caller]: I just got a call about 15 minutes ago for my George. S is a recall on my 2000.
[39.22s - Caller]: 12 Keough.
[42.04s - Caller]: My name's Connie 9052958868."
